-0.002	-0.000	-0.060	-0.024	-0.020	0.002	0.074	0.110	0.731	-0.078	-0.065	0.007	0.744	-0.019	0.130	0.656	-0.078	-0.065	0.007	-0.012	-0.011	0.010	-0.009	0.011	0.006	0.568	0.552	0.522	0.556	0.018	0.231	0.770	-0.004	0.744	-0.011	0.077	0.663	-0.108	-0.156	0.008	0.775	0.011	0.010	0.014	0.008	-0.007	0.012	0.005	0.020	-0.013	
-0.003	-0.000	-0.062	-0.023	-0.037	0.002	0.052	0.086	0.730	-0.073	-0.121	0.007	0.745	-0.018	0.099	0.660	-0.073	-0.121	0.007	-0.013	-0.012	0.011	-0.022	-0.008	0.009	0.542	0.602	0.600	0.570	0.018	0.231	0.780	-0.008	0.745	-0.006	0.056	0.665	-0.074	-0.147	0.006	0.790	0.007	0.004	0.012	0.010	-0.022	-0.008	0.008	0.021	-0.005	
-0.002	0.000	-0.064	-0.011	-0.036	0.002	0.039	0.055	0.728	-0.037	-0.119	0.005	0.746	-0.007	0.067	0.663	-0.037	-0.119	0.005	-0.016	-0.013	0.012	-0.033	-0.023	0.007	0.576	0.588	0.598	0.602	0.035	0.231	0.790	-0.008	0.746	-0.004	0.042	0.665	-0.053	-0.087	0.003	0.796	0.007	0.004	0.012	0.014	-0.032	-0.022	0.007	0.021	-0.005	
-0.003	0.000	-0.064	-0.010	-0.024	0.001	0.031	0.030	0.727	-0.034	-0.078	0.002	0.747	0.003	0.043	0.664	-0.034	-0.078	0.002	-0.020	-0.016	0.013	-0.041	-0.033	0.005	0.634	0.530	0.638	0.548	0.049	0.231	0.790	-0.006	0.747	-0.004	0.029	0.664	-0.052	-0.028	0.001	0.794	0.007	0.004	0.014	0.013	-0.041	-0.032	0.004	0.021	-0.005	
0.015	-0.008	-0.069	-0.012	-0.008	-0.000	0.021	0.016	0.727	-0.037	-0.013	-0.002	0.747	0.005	0.026	0.664	-0.037	-0.013	-0.002	-0.024	-0.019	0.014	-0.035	-0.020	-0.007	0.668	0.446	0.760	0.388	0.048	0.231	0.780	0.001	0.747	-0.014	0.049	0.663	-0.003	0.091	-0.002	0.781	0.007	0.004	0.014	0.023	-0.035	-0.021	-0.005	0.021	-0.005	
0.013	-0.008	-0.065	0.011	0.025	-0.000	0.022	0.025	0.727	0.035	0.085	-0.002	0.747	-0.001	0.033	0.664	0.035	0.085	-0.002	-0.027	-0.020	0.013	-0.025	-0.003	-0.014	0.502	0.508	0.544	0.486	0.029	0.231	0.750	0.012	0.746	-0.023	0.074	0.661	0.037	0.158	-0.004	0.754	0.011	0.006	0.010	0.002	-0.024	-0.002	-0.014	0.051	-0.006	
0.012	-0.007	-0.061	0.008	0.034	-0.001	0.030	0.052	0.728	0.026	0.110	-0.004	0.746	-0.012	0.059	0.663	0.026	0.110	-0.004	-0.029	-0.021	0.013	-0.017	0.010	-0.016	0.504	0.486	0.492	0.480	0.020	0.231	0.740	0.016	0.746	-0.026	0.081	0.661	0.019	0.106	-0.003	0.745	0.011	0.006	0.010	0.014	-0.017	0.008	-0.015	0.051	-0.006	
0.012	-0.007	-0.059	0.002	0.024	0.000	0.033	0.076	0.729	0.006	0.079	0.001	0.745	-0.026	0.079	0.662	0.006	0.079	0.001	-0.030	-0.020	0.012	-0.011	0.015	-0.015	0.494	0.484	0.508	0.452	0.019	0.231	0.740	0.016	0.745	-0.026	0.083	0.661	0.010	0.021	-0.001	0.743	0.011	0.006	0.010	0.034	-0.011	0.015	-0.015	0.051	-0.006	
0.012	-0.007	-0.059	0.003	0.009	0.001	0.035	0.089	0.730	0.008	0.029	0.002	0.744	-0.033	0.090	0.661	0.008	0.029	0.002	-0.031	-0.019	0.011	-0.006	0.018	-0.014	0.460	0.512	0.480	0.488	0.019	0.231	0.740	0.014	0.745	-0.025	0.085	0.662	0.010	-0.026	0.001	0.743	0.011	0.006	0.010	0.004	-0.006	0.017	-0.013	0.051	-0.006	
0.009	-0.018	-0.064	-0.001	-0.002	0.001	0.036	0.091	0.730	-0.001	-0.008	0.003	0.744	-0.034	0.092	0.661	-0.001	-0.008	0.003	-0.032	-0.017	0.010	0.011	0.013	-0.019	0.406	0.548	0.526	0.412	0.016	0.231	0.730	0.017	0.745	-0.004	0.096	0.660	0.074	-0.053	0.002	0.735	0.004	0.003	0.009	0.005	0.011	0.013	-0.019	0.018	0.011	
0.008	-0.018	-0.061	0.030	-0.010	0.002	0.048	0.086	0.731	0.098	-0.033	0.007	0.744	-0.022	0.095	0.661	0.098	-0.033	0.007	-0.030	-0.017	0.008	0.032	0.007	-0.024	0.402	0.434	0.506	0.388	0.028	0.231	0.710	0.023	0.744	0.016	0.108	0.659	0.135	-0.055	0.003	0.717	0.004	0.003	0.012	0.012	0.030	0.007	-0.023	0.018	0.011	
0.008	-0.017	-0.061	0.030	-0.011	0.000	0.075	0.077	0.731	0.098	-0.034	0.000	0.744	0.004	0.107	0.659	0.098	-0.034	0.000	-0.026	-0.017	0.006	0.046	0.004	-0.027	0.426	0.346	0.436	0.312	0.053	0.231	0.690	0.028	0.744	0.031	0.124	0.656	0.055	-0.001	0.000	0.690	0.004	0.003	0.010	0.011	0.046	0.004	-0.026	0.018	0.011	
0.008	-0.016	-0.058	0.014	-0.005	-0.000	0.092	0.071	0.730	0.043	-0.015	-0.002	0.745	0.021	0.114	0.657	0.043	-0.015	-0.002	-0.021	-0.016	0.003	0.057	0.003	-0.027	0.386	0.354	0.432	0.298	0.062	0.231	0.680	0.027	0.745	0.037	0.131	0.654	0.054	0.012	-0.001	0.684	0.006	0.005	0.009	0.009	0.056	0.003	-0.027	0.052	0.021	
0.008	-0.016	-0.058	0.010	0.000	-0.001	0.100	0.070	0.729	0.034	0.001	-0.002	0.745	0.028	0.118	0.656	0.034	0.001	-0.002	-0.015	-0.016	0.001	0.064	0.003	-0.026	0.442	0.436	0.498	0.370	0.069	0.231	0.710	0.014	0.744	0.043	0.140	0.652	0.060	0.016	-0.002	0.719	0.006	0.005	0.009	0.006	0.064	0.002	-0.026	0.052	0.021	
0.006	-0.015	-0.052	0.012	0.003	-0.000	0.109	0.072	0.729	0.034	0.013	-0.001	0.745	0.033	0.126	0.655	0.034	0.013	-0.001	-0.009	-0.015	-0.000	0.072	0.003	-0.004	0.558	0.576	0.608	0.506	0.075	0.231	0.780	-0.007	0.744	0.050	0.146	0.651	0.060	0.004	-0.001	0.785	0.006	0.005	0.008	0.004	0.071	0.003	-0.005	0.052	0.021	
0.007	-0.015	-0.057	0.011	0.001	0.000	0.128	0.077	0.730	0.036	0.005	0.000	0.744	0.044	0.142	0.652	0.036	0.005	0.000	-0.002	-0.015	0.001	0.076	0.002	0.011	0.626	0.642	0.664	0.592	0.077	0.231	0.810	-0.015	0.743	0.055	0.148	0.651	0.048	-0.010	0.001	0.818	0.006	0.005	0.009	0.028	0.075	0.001	0.010	0.052	0.021	
