1.407	0.010	0.500	1.681	0.010	0.500	1.305	0.040	
1.820	0.010	0.500	1.423	0.010	0.468	1.651	0.111	
1.754	0.010	0.500	1.575	0.000	0.100	1.986	0.040	
1.745	0.010	0.500	1.652	0.000	0.100	1.869	0.400	
1.211	0.000	0.242	1.399	0.010	0.500	1.621	0.202	
1.663	0.010	0.448	2.023	0.010	0.285	1.428	0.040	
1.753	0.010	0.292	1.416	0.000	0.100	1.638	0.278	
1.687	0.000	0.500	1.567	0.010	0.396	1.771	0.367	
1.141	0.000	0.416	1.154	0.010	0.500	1.636	0.400	
1.389	0.010	0.332	1.507	0.010	0.123	1.316	0.400	
1.697	0.010	0.261	1.790	0.000	0.500	1.964	0.400	
1.874	0.000	0.500	1.617	0.000	0.349	1.142	0.088	
1.905	0.000	0.365	0.795	0.000	0.500	1.239	0.400	
1.981	0.010	0.100	1.399	0.010	0.500	2.010	0.247	
1.726	0.010	0.500	1.810	0.000	0.100	1.732	0.106	
2.044	0.000	0.500	1.159	0.010	0.500	2.037	0.040	
1.550	0.010	0.500	2.261	0.010	0.241	1.689	0.081	
1.901	0.000	0.100	1.936	0.000	0.389	1.308	0.040	
2.480	0.010	0.100	2.594	0.010	0.100	1.982	0.040	
1.842	0.000	0.325	1.783	0.010	0.500	1.895	0.040	
1.558	0.010	0.394	1.700	0.000	0.115	1.164	0.400	
1.866	0.010	0.213	1.666	0.007	0.295	1.394	0.400	
1.403	0.010	0.100	1.811	0.010	0.500	1.238	0.166	
1.921	0.000	0.100	2.107	0.010	0.107	1.616	0.348	
1.056	0.000	0.500	2.028	0.010	0.500	2.563	0.175	
1.648	0.010	0.100	1.125	0.010	0.100	1.757	0.087	
1.685	0.010	0.100	1.137	0.010	0.198	1.870	0.395	
1.699	0.010	0.100	1.826	0.010	0.100	1.693	0.141	
1.437	0.010	0.100	1.411	0.000	0.500	2.004	0.040	
1.466	0.010	0.500	1.917	0.010	0.500	1.532	0.040	
2.099	0.010	0.234	2.199	0.000	0.100	2.124	0.050	
1.802	0.000	0.500	1.346	0.000	0.500	1.507	0.040	
0.915	0.000	0.500	1.679	0.000	0.188	2.089	0.040	
1.693	0.000	0.500	1.874	0.000	0.500	1.658	0.040	
1.182	0.000	0.100	1.894	0.000	0.100	1.491	0.400	
2.114	0.010	0.211	2.030	0.000	0.500	1.964	0.040	
2.272	0.010	0.500	1.438	0.010	0.318	1.983	0.400	
1.389	0.000	0.188	1.595	0.010	0.340	1.534	0.400	
2.578	0.000	0.225	1.771	0.000	0.266	1.831	0.228	
1.596	0.000	0.500	1.762	0.010	0.500	2.884	0.400	
1.151	0.000	0.100	1.354	0.010	0.100	1.769	0.186	
1.180	0.000	0.500	1.386	0.000	0.498	1.775	0.400	
1.437	0.000	0.100	1.936	0.010	0.500	1.201	0.040	
1.587	0.010	0.436	1.704	0.010	0.500	1.429	0.400	
2.309	0.000	0.500	2.035	0.009	0.171	2.442	0.040	
1.075	0.000	0.100	1.899	0.010	0.101	1.425	0.040	
1.539	0.000	0.390	1.597	0.010	0.500	1.607	0.400	
1.465	0.000	0.100	1.910	0.000	0.500	1.404	0.040	
1.527	0.010	0.500	1.887	0.000	0.385	1.779	0.335	
2.357	0.010	0.500	1.952	0.010	0.457	1.778	0.197	
1.649	0.010	0.315	1.237	0.010	0.233	1.324	0.082	
1.651	0.010	0.249	1.701	0.010	0.211	1.512	0.040	
1.036	0.010	0.500	2.028	0.000	0.336	1.781	0.049	
1.608	0.010	0.500	1.459	0.010	0.287	1.385	0.040	
1.977	0.000	0.425	1.066	0.010	0.100	1.974	0.266	
1.024	0.010	0.500	1.680	0.000	0.100	1.503	0.108	
2.479	0.000	0.386	1.627	0.000	0.272	1.762	0.389	
1.324	0.010	0.500	1.218	0.010	0.384	1.203	0.400	
